Plant group,Genus,Species,Ploidy level,1C (pg),Original Reference,Paper
Angiosperm,Arabidopsis,cebennensis,2,0.29,"Lysák et al., 2009 (Ref. 599)",2011
Angiosperm,Thlaspi,montanum,2,0.29,"Peer et al., 2006 (Ref. 540)",2011
Angiosperm,Begonia,subvillosa,,0.29,"Dewitte et al., 2009 (Ref. 618)",2012
Bryophyte,Cratoneuron,filicinum,,0.29,"Voglmayr H, 2010 (Ref. 1)",2000
Bryophyte,Marchantia,polymorpha,,0.29,"Temsch et al., 2010 (Ref. 4)",2010a
Angiosperm,Campomanesia,adamantium,2,0.29,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Bryophyte,Hypnum,imponens,,0.3,"Voglmayr H, 2010 (Ref. 1)",2000
Angiosperm,Sedum,stellatum,2,0.3,"Hart et al., 1993 (Ref. 399)",2005a
Angiosperm,Rubus,hispidus,2,0.3,"Meng & Finn, 2002 (Ref. 600)",2011
Angiosperm,Rubus,canadensis,2,0.3,"Meng & Finn, 2002 (Ref. 600)",2011
Angiosperm,Rubus,pinfaensis,2,0.3,"Meng & Finn, 2002 (Ref. 600)",2011
Angiosperm,Aristolochia,rotunda,,0.3,"Vesely et al., 2011 (Ref. 675)",2012
Angiosperm,Spirodela,polyrhiza,4,0.3,"Geber, 1989 (Ref. 400)",2005a
Angiosperm,Campomanesia,guaviroba,2,0.3,"Ribeiro da Costa et al., 2008 (Ref. 651)",2012
Angiosperm,Jatropha,podagrica,,0.3,"Vesely et al., 2011 (Ref. 675)",2012
Angiosperm,Carex,flacca,,0.3,"Grime et al., 1985 (Ref. 133)",1991
Angiosperm,Epilobium,hirsutum,2,0.3,"Mowforth, 1986 (Ref. 158)",1991
Angiosperm,Juncus,effusus,2,0.3,"Greilhuber, 1988 (Ref. 203)",1995
Angiosperm,Rubus,idaeus,,0.3,"Arumuganathan and Earle, 1991 (Ref. 227)",1995
Angiosperm,Prunus,armeniaca,2,0.3,"Arumuganathan and Earle, 1991 (Ref. 227)",1995
Angiosperm,Prunus,subhirtella,2,0.3,"Dickson et al., 1992 (Ref. 262)",1995
Angiosperm,Carex,omiana,,0.3,"Nishikawa et al., 1984 (Ref. 357)",2000
Angiosperm,Carex,kiotensis,,0.3,"Nishikawa et al., 1984 (Ref. 357)",2000
Angiosperm,Carex,thunbergii,,0.3,"Nishikawa et al., 1984 (Ref. 357)",2000
Angiosperm,Carex,tristachya,,0.3,"Nishikawa et al., 1984 (Ref. 357)",2000
Angiosperm,Carex,maximowiczii,,0.3,"Nishikawa et al., 1984 (Ref. 357)",2000
Angiosperm,Drosera,capensis,4,0.3,"Rothfels and Heimburg, 1968 (Ref. 39)",1976
Algae,Amphiroa,zonata,,0.3,"Bailey and Kapraun, 2000 (Ref. 1)",2005
Algae,Cladophora,sericea,,0.3,"Bot et al., 1989 (Ref. 3)",2005
Algae,Cladophora,rupestres,,0.3,"Bot et al., 1989 (Ref. 3)",2005
