Plant group,Genus,Species,Ploidy level,1C (pg),Original Reference,Paper
Angiosperm,Hieracium,naegelianum,3,5.45,"Chrtek et al., 2009 (Ref. 641)",2012
Angiosperm,Leucanthemum,praecox,2,5.45,"Marchi et al., 1983 (Ref. 111)",1991
Angiosperm,Nolina,bigelovii,,5.45,"Bennett and Smith, 1987 (Ref. 164)",1995
Angiosperm,Ranunculus,nigrescens,2,5.45,"Goepfert, 1974 (Ref. 44)",1976
Angiosperm,Hordeum,chilense,2,5.45,"Bennett and Smith, 1971 (Ref. 50)",1976
Angiosperm,Spartina,anglica,,5.45,"Barlow, 1981 (Ref. 58)",1982
Angiosperm,Hedera,colchica,8,5.45,"Obermayer and Greilhuber, 2000 (Ref. 429)",2005a
Angiosperm,Limonium,macrophyllum,2,5.45,"Suda et al., 2003 (Ref. 477)",2011
Angiosperm,Deschampsia,flexuosa,4,5.48,"Band, 1984 (Ref. 154)",1991
Angiosperm,Tradescantia,fluminensis,10,5.48,"Martínez and Ginzo, 1985 (Ref. 181)",1995
Angiosperm,Daucus,montanus,6,5.48,"Owens, 1974 (Ref. 25)",1976
Angiosperm,Avena,ventricosa,2,5.48,"Iiyama and Grant, 1972 (Ref. 35)",1976
Angiosperm,Hieracium,macrostolonum,6,5.49,"Suda et al., 2007 (Ref. 569)",2011
Angiosperm,Eremopyrum,triticeum,2,5.5,"Bennett, 1972 (Ref. 1)",1976
Angiosperm,Vicia,cappadocica,2,5.5,"Maxted et al., 1991 (Ref. 190)",1995
Angiosperm,Senecio,brassica,,5.5,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Bromus,japonicus,2,5.5,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Hordeum,glaucum,2,5.5,"Bennett and Smith, 1971 (Ref. 50)",1976
Angiosperm,Hordeum,marinum,2,5.5,"Bennett and Smith, 1971 (Ref. 50)",1976
Angiosperm,Hordeum,bulbosum,2,5.5,"Bennett and Smith, 1971 (Ref. 50)",1976
Angiosperm,Hordeum,violaceum,2,5.5,"Bennett and Smith, 1971 (Ref. 50)",1976
Angiosperm,Hordeum,spontaneum,2,5.5,"Bennett and Smith, 1971 (Ref. 50)",1976
Angiosperm,Artemisia,campestris,4,5.5,"Torrell and Valles, 2001 (Ref. 386)",2005a
Angiosperm,Eleocharis,waltersii,,5.5,"Zedek et al., 2010 (Ref. 632)",2012
Angiosperm,Gymnadenia,conopsea,,5.51,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Artemisia,monosperma,4,5.51,"Torrell and Valles, 2001 (Ref. 386)",2005a
Angiosperm,Crepis,conyzaefolia,2,5.51,"Dimitrova and Greilhuber, 2000 (Ref. 394)",2005a
Angiosperm,Poa,schistacea,4,5.51,"Murray et al., 2005 (Ref. 528)",2011
Angiosperm,Caladium,bicolor,,5.52,"Ghosh et al., 2001 (Ref. 411)",2005a
Angiosperm,Hordeum,pusillum,2,5.53,"Bennett and Smith, 1971 (Ref. 50)",1976
Angiosperm,Hordeum,roshevitsii,2,5.53,"Bennett and Smith, 1971 (Ref. 50)",1976
Angiosperm,Deschampsia,chapmanii,2,5.53,"Murray et al., 2005 (Ref. 528)",2011
Angiosperm,Hieracium,rubrum,6,5.53,"Suda et al., 2007 (Ref. 569)",2011
Angiosperm,Trisetum,arduanum,4,5.54,"Murray et al., 2005 (Ref. 528)",2011
Angiosperm,Simplicia,buchananii,4,5.54,"Murray et al., 2005 (Ref. 528)",2011
Angiosperm,Sorghum,conspicuum,4,5.55,"Paroda and Rees, 1971 (Ref. 18)",1976
Angiosperm,Hordeum,vulgare,2,5.55,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Trachycarpus,nanus,2,5.55,"Röser et al., 1997 (Ref. 271)",1997
Angiosperm,Ranunculus,chinensis,2,5.55,"Goepfert, 1974 (Ref. 44)",1976
Angiosperm,Hordeum,murinum,2,5.55,"Bennett and Smith, 1971 (Ref. 50)",1976
Angiosperm,Deyeuxia,aucklandica,6,5.55,"Murray et al., 2003 (Ref. 476)",2011
Angiosperm,Cenchrus,caliculatus,6,5.56,"Murray et al., 2005 (Ref. 528)",2011
Angiosperm,Crepis,kerneri,2,5.56,"Enke et al., 2011 (Ref. 670)",2012
Angiosperm,Lepidolopsis,turkestanica,2,5.57,"Garcia et al., 2004 (Ref. 521)",2011
Angiosperm,Agropyron,elongatum,2,5.58,"Bennett, 1972 (Ref. 1)",1976
Angiosperm,Oxalis,niederleinii,2,5.58,"De Azkue and Martínez, 1984 (Ref. 169)",1995
Angiosperm,Crepis,lapsanoides,2,5.58,"Brown and Jone, 1975 (Ref. 42)",1976
Angiosperm,Helianthus,anomalus,2,5.6,"Sims and Price, 1985 (Ref. 116)",1991
Angiosperm,Alocasia,zebrina,,5.6,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Ledebouria,cooperi,,5.6,"Zonneveld et al., 2005 (Ref. 466)",2005b
Gymnosperm,Nageia,nagi,,5.6,"Zonneveld, 2012 (Ref. 44)",2012a
Gymnosperm,Prumnopitys,ladei,,5.6,"Zonneveld, 2012 (Ref. 44)",2012a
Angiosperm,Anthurium,gymnopus,,5.61,"Bliss & Suzuki, 2012 (Ref. 673)",2012
Angiosperm,Gastrochilus,dasyogon,,5.63,"Narayan et al., 1989 (Ref. 250)",1995
Angiosperm,Ranunculus,bulbosus,2,5.63,"Smith and Bennett, 1975 (Ref. 45)",1976
Angiosperm,Festuca,pratensis,4,5.63,"Seal, 1979 (Ref. 72)",1982
Angiosperm,Hieracium,lachenalii,3,5.63,"Chrtek et al., 2009 (Ref. 641)",2012
Angiosperm,Agrostis,muelleriana,6,5.63,"Murray et al., 2005 (Ref. 528)",2011
Angiosperm,Australopyrum,calcis,2,5.64,"Murray et al., 2005 (Ref. 528)",2011
Angiosperm,Hieracium,tomentosum,3,5.64,"Chrtek et al., 2009 (Ref. 641)",2012
Pteridophyte,Huperzia,lucidula,2,5.64,"Bainard et al., 2011 (Ref. 18)",2011b
Angiosperm,Agave,fourcroydes,3,5.64,"Robert et al., 2008 (Ref. 680)",2012
Angiosperm,Vicia,amurensis,2,5.65,"Raina and Rees, 1983 (Ref. 112)",1991
Angiosperm,Bromus,aegyptiacus,2,5.65,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Ranunculus,ophioglossifolius,2,5.65,"Goepfert, 1974 (Ref. 44)",1976
Angiosperm,Lavandula,officinalis,,5.65,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Dactylorhiza,maculata,4,5.66,"Aagaard et al., 2005 (Ref. 517)",2011
Angiosperm,Festuca,heterophylla,4,5.66,"Smarda et al., 2008 (Ref. 555)",2011
Angiosperm,Iris,pseudacorus,2,5.67,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Guizotia,zavattarii,2,5.68,"Hiremath et al., 1992 (Ref. 212)",1995
Angiosperm,Trisetum,drucei,4,5.69,"Murray et al., 2005 (Ref. 528)",2011
Angiosperm,Sorghum,durra,4,5.7,"Paroda and Rees, 1971 (Ref. 18)",1976
Angiosperm,Phalaris,arundinacea,6,5.7,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Anacyclus,valentinus,2,5.7,"Nagl and Ehrendorfer, 1974 (Ref. 32)",1976
Angiosperm,Ranunculus,grenierianus,2,5.7,"Goepfert, 1974 (Ref. 44)",1976
Angiosperm,Scilla,bifolia,2,5.7,"Greilhuber, 1979 (Ref. 89)",1982
Angiosperm,Semele,maderensis,2,5.7,"Pinheiro de Carvalho et al., 2000 (Ref. 490)",2011
Angiosperm,Hieracium,bauhinii,6,5.7,"Suda et al., 2007 (Ref. 569)",2011
Angiosperm,Crepis,incarnata,,5.7,"Godelle B et al., 1993 (Ref. 665)",2012
Angiosperm,Artemisia,abrotanum,4,5.71,"Garcia et al., 2004 (Ref. 521)",2011
Angiosperm,Hieracium,prenanthoides,3,5.71,"Chrtek et al., 2009 (Ref. 641)",2012
Angiosperm,Hieracium,murorum,3,5.71,"Temsch et al., 2010 (Ref. 627)",2012
Angiosperm,Hieracium,glaucum,3,5.71,"Chrtek et al., 2009 (Ref. 641)",2012
Angiosperm,Anthurium,cerrocampanense,,5.72,"Bliss & Suzuki, 2012 (Ref. 673)",2012
Angiosperm,Bromus,brachystachys,2,5.73,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Commelina,africana,4,5.73,"Lewis and Kenton, 1989 (Ref. 269-E)",1995
Angiosperm,Oncidium,phymatochilum,,5.73,"Hanson et al., 1999 (Ref. 377)",2000
Angiosperm,Miltonia,phymatochila,,5.73,"Chase et al., 2005 (Ref. 504)",2011
Angiosperm,Helianthus,deserticola,2,5.75,"Sims and Price, 1985 (Ref. 116)",1991
Angiosperm,Bromus,squarrosus,2,5.75,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Lathyrus,gorgoni,2,5.75,"Nandini et al., 1997 (Ref. 319)",2000
Angiosperm,Hieracium,leptophyton,7,5.75,"Bräutigam and Bräutigam, 1996 (Ref. 352)",2000
Angiosperm,Senecio,crassulaefolius,,5.75,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Semele,pterygophora,2,5.75,"Pinheiro de Carvalho et al., 2000 (Ref. 490)",2011
Angiosperm,Artemisia,pygmaea,2,5.77,"Garcia et al., 2004 (Ref. 521)",2011
Angiosperm,Capsicum,parvifolium,2,5.77,"Moscone et al., 2003 (Ref. 481)",2011
Angiosperm,Vicia,pseudorobus,2,5.78,"Raina and Rees, 1983 (Ref. 112)",1991
Angiosperm,Mammillaria,zeilmanniana,2,5.78,"Das and Mohanty, 1997 (Ref. 334)",2000
Angiosperm,Ranunculus,velutinus,2,5.78,"Goepfert, 1974 (Ref. 44)",1976
Angiosperm,Trifolium,pannonicum,,5.79,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Leucanthemum,gaudinii,2,5.8,"Marchi et al., 1983 (Ref. 111)",1991
Angiosperm,Hydrocleys,nymphoides,2,5.8,"Baum et al., 1989 (Ref. 269-D)",1995
Angiosperm,Sommieria,elegans,2,5.8,"Röser et al., 1997 (Ref. 271)",1997
Angiosperm,Chrysanthemum,coccineum,2,5.8,"Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)",1982
Angiosperm,Skimmia,reevesiana,2,5.8,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Semele,menezesi,2,5.8,"Pinheiro de Carvalho et al., 2000 (Ref. 490)",2011
Angiosperm,Hieracium,villosum,3,5.80,"Chrtek et al., 2009 (Ref. 641)",2012
Angiosperm,Crepis,dinarica,,5.8,"Godelle B et al., 1993 (Ref. 665)",2012
Gymnosperm,Afrocarpus,falcatus,,5.8,"Zonneveld, 2012 (Ref. 44)",2012a
Angiosperm,Orobanche,transcaucasica,4,5.81,"Weiss-Schneeweiss et al., 2005 (Ref. 531)",2011
Angiosperm,Lathyrus,venetus,,5.81,"Vesely et al., 2011 (Ref. 675)",2012
Angiosperm,Dasylirion,cedrosanum,,5.81,"Spencer, 2008 (Ref. 592)",2011
Angiosperm,Alopecurus,utriculatus,2,5.83,"Bennett and Smith, 1987 (Ref. 164)",1995
Angiosperm,Arachis,glabrata,4,5.83,"Singh et al., 1996 (Ref. 297)",1997
Angiosperm,Canella,winterana,,5.83,"Morawetz and Samuel, 1998 (Ref. 341)",2000
Angiosperm,Iris,bosniaca,2,5.83,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Artemisia,subdigitata,4,5.85,"Pellicer et al., 2007 (Ref. 553)",2011
Angiosperm,Briza,calotheca,4,5.85,"Schifino and Winge, 1983 (Ref. 117)",1991
Angiosperm,Dietes,grandiflora,2,5.85,"Goldblatt et al., 1984 (Ref. 137)",1991
Angiosperm,Scilla,indica,2,5.85,"Chakravarty and Sen, 1992 (Ref. 219)",1995
Angiosperm,Dendrobium,hookeriana,2,5.85,"Narayan et al., 1989 (Ref. 250)",1995
Angiosperm,Microseris,scapigera,,5.85,"Bachmann et al., 1975 (Ref. 48)",1976
Angiosperm,Ledebouria,socialis,,5.85,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Ranunculus,cassubicifolius,4,5.85,"Hörandl & Greilhuber, 2002 (Ref. 474)",2011
Angiosperm,Artemisia,changaica,4,5.85,"Pellicer et al., 2007 (Ref. 553)",2011
Angiosperm,Hieracium,pannosum,3,5.86,"Chrtek et al., 2009 (Ref. 641)",2012
Angiosperm,Iris,germancia,2,5.87,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Helianthus,radula,2,5.88,"Sims and Price, 1985 (Ref. 116)",1991
Angiosperm,Bromus,alopecuros,2,5.88,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Ranunculus,cardiophyllus,8,5.88,"Goepfert, 1974 (Ref. 44)",1976
Angiosperm,Festuca,brachyphylla,6,5.88,"Huff & Palazzo, 1998 (Ref. 609)",2011
Pteridophyte,Gymnocarpium,robertianum,,5.89,"Greilhuber, 1988 (Ref. 6)",2001
Angiosperm,Anthoxanthum,odoratum,4,5.9,"Grime and Mowforth, 1982 (Ref. 110)",1991
Angiosperm,Nicotiana,acaulis,2,5.9,"Narayan, 1987 (Ref. 199)",1995
Angiosperm,Aegilops,searsii,2,5.9,"Furuta et al., 1986 (Ref. 265)",1995
Angiosperm,Crepis,dinarica,2,5.9,"Marie and Brown, 1993 (Ref. 290)",1997
Angiosperm,Crepis,froelichiana,2,5.9,"Marie and Brown, 1993 (Ref. 290)",1997
Angiosperm,Crocus,sativus,3,5.90,"Brandizzi et al., 1996 (Ref. 419)",2005a
Angiosperm,Semele,androgyna,2,5.9,"Pinheiro de Carvalho et al., 2000 (Ref. 490)",2011
Angiosperm,Hieracium,pilosum,3,5.90,"Chrtek et al., 2009 (Ref. 641)",2012
Gymnosperm,Retrophyllum,rospigliosii,,5.9,"Zonneveld, 2012 (Ref. 44)",2012a
Angiosperm,Artemisia,dracunculus,4,5.91,"Pellicer et al., 2007 (Ref. 553)",2011
Angiosperm,Vicia,cracca,2,5.92,"Akpinar et al., 1997 (Ref. 409)",2005a
Angiosperm,Bromus,brizaeformis,2,5.93,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Bellevalia,sarmatica,2,5.93,"Hanson et al., 1993 (Ref. 269-I)",1995
Angiosperm,Ranunculus,nivalis,6,5.93,"Goepfert, 1974 (Ref. 44)",1976
Angiosperm,Nipponanthemum,nipponicum,2,5.94,"Garcia et al., 2004 (Ref. 521)",2011
Angiosperm,Lactuca,indica,2,5.94,"Dolezalová et al., 2002 (Ref. 608)",2011
Angiosperm,Hieracium,alpinum,3,5.94,"Chrtek et al., 2009 (Ref. 641)",2012
Angiosperm,Vicia,macrograminea,2,5.94,"Naranjo et al., 1998 (Ref. 415)",2005a
Angiosperm,Guihaia,argyrata,2,5.95,"Röser et al., 1997 (Ref. 271)",1997
Angiosperm,Anemone,parviflora,2,5.95,"Rothfels et al., 1966 (Ref. 8)",1976
Angiosperm,Lathyrus,pratensis,4,5.95,"Temsch et al., 2010 (Ref. 627)",2012
Angiosperm,Iris,reichenbachii,2,5.96,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Lugoa,revoluta,2,5.97,"Suda et al., 2003 (Ref. 477)",2011
Angiosperm,Magnolia,soulangiana,4,5.98,"Nagl et al., 1977 (Ref. 61)",1982
Angiosperm,Ranunculus,adoneus,4,5.98,"Baack, 2004 (Ref. 523)",2011
Angiosperm,Hieracium,piliferum,3,5.98,"Chrtek et al., 2009 (Ref. 641)",2012
Angiosperm,Lathyrus,aureus,,5.98,"Vesely et al., 2011 (Ref. 675)",2012
Angiosperm,Artemisia,glauca,4,5.99,"Pellicer et al., 2007 (Ref. 553)",2011
Angiosperm,Briza,aff. jurgensii,4,6,"Schifino and Winge, 1983 (Ref. 117)",1991
Angiosperm,Nicotiana,debneyi,4,6,"Narayan, 1987 (Ref. 199)",1995
Angiosperm,Lathyrus,clymenum,2,6,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Bellevalia,forniculata,2,6,"Hanson et al., 1993 (Ref. 269-I)",1995
Angiosperm,Areca,concinna,2,6,"Röser et al., 1997 (Ref. 271)",1997
Angiosperm,Crepis,incarnata,2,6,"Marie and Brown, 1993 (Ref. 290)",1997
Angiosperm,Ranunculus,bupleuroides,2,6,"Goepfert, 1974 (Ref. 44)",1976
Angiosperm,Yucca,elephantipes,,6,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Senecio,abbreviatus,,6,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Anthurium,armeniense,,6.01,"Bliss & Suzuki, 2012 (Ref. 673)",2012
Angiosperm,Hieracium,bupleuroides,3,6.02,"Chrtek et al., 2009 (Ref. 641)",2012
Angiosperm,Briza,itatiaiae,4,6.03,"Schifino and Winge, 1983 (Ref. 117)",1991
Angiosperm,Vicia,articulata,2,6.03,"Chooi WY., 1971 (Ref. 21)",1976
Angiosperm,Lathyrus,armenius,2,6.03,"Callimassia and Bennett, 1992 (Ref. 269-H)",1995
Angiosperm,Zingiber,officinale,2,6.03,"Rai et al., 1997 (Ref. 324)",2000
Angiosperm,Aira,caryophyllea,4,6.03,"Albers, 1980 (Ref. 73)",1982
Angiosperm,Aegilops,longissima,2,6.05,"Furuta et al., 1986 (Ref. 265)",1995
Angiosperm,Lathyrus,pseudo-cicera,2,6.05,"Nandini et al., 1997 (Ref. 319)",2000
Angiosperm,Artemisia,judaica,2,6.05,"Geber and Hasibeder, 1980 (Ref. 98)",1982
Angiosperm,Ophiopogon,planiscapus,,6.05,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Hieracium,pilosella,7,6.06,"Suda et al., 2007 (Ref. 569)",2011
Angiosperm,Dendranthema,indica,4,6.07,"Garcia et al., 2004 (Ref. 521)",2011
Angiosperm,Lathyrus,articulatus,2,6.08,"Narayan, 1982 (Ref. 113)",1991
Angiosperm,Lathyrus,incurvus,2,6.08,"Callimassia and Bennett, 1992 (Ref. 269-H)",1995
Angiosperm,Avenella,flexuosa,4,6.08,"Albers, 1980 (Ref. 73)",1982
Angiosperm,Artemisia,vulgaris,4,6.08,"Garcia et al., 2004 (Ref. 521)",2011
Angiosperm,Helianthus,angustifolius,2,6.1,"Sims and Price, 1985 (Ref. 116)",1991
Angiosperm,Briza,erecta,4,6.1,"Schifino and Winge, 1983 (Ref. 117)",1991
Angiosperm,Areca,minuta,2,6.1,"Röser et al., 1997 (Ref. 271)",1997
Angiosperm,Phragmipedium,longifolium,2,6.1,"Cox et al., 1996 (Ref. 300)",1997
Angiosperm,Mammillaria,occidentalis,2,6.1,"Das and Mohanty, 1997 (Ref. 334)",2000
Angiosperm,Ranunculus,nemorosus,2,6.1,"Goepfert, 1974 (Ref. 44)",1976
Pteridophyte,Asplenium,trichomanes,,6.1,"Siljak-Yakovlev, 2010 (Ref. 21)",2010b
Angiosperm,Gonospermum,canariense,2,6.12,"Suda et al., 2005 (Ref. 552)",2011
Angiosperm,Iris,variegata,2,6.12,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Glyceria,maxima,6,6.13,"Band, 1984 (Ref. 154)",1991
Angiosperm,Crepis,dioscoridis,2,6.13,"Brown and Jone, 1975 (Ref. 42)",1976
Angiosperm,Ranunculus,arvensis,4,6.13,"Smith and Bennett, 1975 (Ref. 45)",1976
Angiosperm,Olearia,pimeleoides,,6.13,"Morgan & Westoby, 2005 (Ref. 526)",2011
Angiosperm,Anthurium,microspadix,,6.13,"Bliss & Suzuki, 2012 (Ref. 673)",2012
Angiosperm,Hieracium,olympicum,3,6.14,"Chrtek et al., 2009 (Ref. 641)",2012
Angiosperm,Galtonia,candicans,,6.14,"Vesely et al., 2011 (Ref. 675)",2012
Pteridophyte,Asplenium,ruta-muraria,3,6.15,"Redondo et al., 1999 (Ref. 7)",2001
Angiosperm,Chlidanthus,fragrans,,6.15,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Gonospermum,fruticosum,2,6.15,"Suda et al., 2005 (Ref. 552)",2011
Angiosperm,Festuca,elegans,4,6.16,"Loureiro et al., 2007 (Ref. 582)",2011
Angiosperm,Iris,illyrica,2,6.16,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Amorphophallus,sutepensis,2,6.18,"Chauhan and Brandham, 1985 (Ref. 161)",1991
Angiosperm,Aegilops,comosa,2,6.18,"Furuta, 1970 (Ref. 3)",1976
Angiosperm,Ranunculus,calandrinioides,2,6.18,"Goepfert, 1974 (Ref. 44)",1976
Angiosperm,Culcitium,nivale,2,6.18,"Dusková et al., 2010 (Ref. 631)",2012
Angiosperm,Soldanella,pusilla,,6.18,"Vesely et al., 2011 (Ref. 675)",2012
Angiosperm,Traunsteinera,globosa,,6.19,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Anthurium,gracile,,6.19,"Bliss & Suzuki, 2012 (Ref. 673)",2012
Angiosperm,Hieracium,bracteolatum,3,6.20,"Chrtek et al., 2009 (Ref. 641)",2012
Angiosperm,Dendrophthoe,falcata,2,6.2,"Martin., 1983 (Ref. 109)",1991
Angiosperm,Dasylirion,sp.,,6.2,"Bharathan et al., 1994 (Ref. 272)",1997
Angiosperm,Anacyclus,depressus,2,6.2,"Nagl and Ehrendorfer, 1974 (Ref. 32)",1976
Angiosperm,Artemisia,umbelliformis,4,6.21,"Torrell and Valles, 2001 (Ref. 386)",2005a
Angiosperm,Hieracium,racemosum,3,6.21,"Chrtek et al., 2009 (Ref. 641)",2012
Angiosperm,Hieracium,laevigatum,3,6.21,"Chrtek et al., 2009 (Ref. 641)",2012
Angiosperm,Muscari,moschatum,2,6.23,"Bennett, 1972 (Ref. 1)",1976
Angiosperm,Triticum,monococcum,2,6.23,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Ranunculus,uncinatus,4,6.23,"Goepfert, 1974 (Ref. 44)",1976
Angiosperm,Ranunculus,polyanthemos,2,6.23,"Goepfert, 1974 (Ref. 44)",1976
Angiosperm,Gagea,pusilla,,6.23,"Vesely et al., 2011 (Ref. 675)",2012
Angiosperm,Stachys,grandiflora,,6.24,"Barow & Meister, 2003 (Ref. 492)",2011
Angiosperm,Hippolytia,megacephala,2,6.24,"Garcia et al., 2004 (Ref. 521)",2011
Angiosperm,Rumex,lunaria,4,6.24,"Suda et al., 2003 (Ref. 477)",2011
Angiosperm,Artemisia,herba-alba,4,6.24,"Torrell and Valles, 2001 (Ref. 386)",2005a
Angiosperm,Erechtites,valerianaefolia,4,6.25,"Lawrence, 1985 (Ref. 114)",1991
Angiosperm,Bromus,arvensis,2,6.25,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Vicia,meyeri,2,6.25,"Chooi WY., 1971 (Ref. 21)",1976
Angiosperm,Ranunculus,parviflorus,4,6.25,"Goepfert, 1974 (Ref. 44)",1976
Angiosperm,Bromus,berteroanus,6,6.26,"Klos et al., 2009 (Ref. 635)",2012
Angiosperm,Hieracium,heterogynum,3,6.26,"Chrtek et al., 2009 (Ref. 641)",2012
Angiosperm,Hierochloe,novae-zelandiae,4,6.27,"Murray et al., 2005 (Ref. 528)",2011
Angiosperm,Bromus,brevis,6,6.28,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Saccharum,spontaneum,,6.28,"Bennett and Smith, 1976 (Ref. 2)",1976
Angiosperm,Helictotrichon,pubescens,2,6.28,"Roser, 1995 (Ref. 283)",1997
Angiosperm,Crepis,palaestina,2,6.28,"Brown and Jone, 1975 (Ref. 42)",1976
Angiosperm,Ranunculus,gouanii,2,6.28,"Goepfert, 1974 (Ref. 44)",1976
Angiosperm,Ranunculus,macrophyllus,2,6.28,"Goepfert, 1974 (Ref. 44)",1976
Angiosperm,Pyrrhopappus,carolinianus,2,6.28,"Bachmann et al., 1975 (Ref. 48)",1976
Angiosperm,Festuca,brevipila,6,6.28,"Huff & Palazzo, 1998 (Ref. 609)",2011
Angiosperm,Anthurium,schlechtendalii,,6.28,"Bliss & Suzuki, 2012 (Ref. 673)",2012
Angiosperm,Lachnagrostis,filiformis,8,6.29,"Murray et al., 2005 (Ref. 528)",2011
Angiosperm,Aegilops,mutica,2,6.3,"Furuta, 1970 (Ref. 3)",1976
Angiosperm,Aegilops,uniaristata,2,6.3,"Furuta, 1970 (Ref. 3)",1976
Pteridophyte,Diplazium,pycnocarpon,2,6.32,"Bainard et al., 2011 (Ref. 18)",2011b
Angiosperm,Peraxilla,colensoi,2,6.33,"Martin., 1983 (Ref. 109)",1991
Angiosperm,Senecio,biserratus,10,6.33,"Lawrence, 1985 (Ref. 114)",1991
Angiosperm,Chrysanthemum,morifolium,4,6.33,"Ohri et al., 1981 (Ref. 209)",1995
Angiosperm,Phragmipedium,pearcei,,6.33,"Cox et al., 1996 (Ref. 300)",1997
Angiosperm,Bromus,danthoniae,2,6.33,"Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)",1982
Angiosperm,Festuca,arundinacea,8,6.33,"Seal, 1979 (Ref. 72)",1982
Angiosperm,Hieracium,sabaudum,3,6.33,"Chrtek et al., 2009 (Ref. 641)",2012
Angiosperm,Briza,jurgensii,4,6.35,"Schifino and Winge, 1983 (Ref. 117)",1991
Angiosperm,Muscari,comosum,2,6.35,"Olszewska and Osiecka, 1982 (Ref. 155)",1991
Angiosperm,Ranunculus,flammula,4,6.35,"Smith and Bennett, 1975 (Ref. 45)",1976
Angiosperm,Festuca,longifolia,6,6.35,"Arumuganathan et al., 1999 (Ref. 417)",2005a
Angiosperm,Ornithogalum,saundersiae,,6.35,"Zonneveld et al., 2005 (Ref. 466)",2005b
Angiosperm,Leucanthemum,tridactylites,2,6.38,"Marchi et al., 1983 (Ref. 111)",1991
Angiosperm,Nicotiana,suaveolens,4,6.38,"Narayan, 1987 (Ref. 199)",1995
Angiosperm,Lobelia,dortmanna,,6.38,"Baum et al., 1989 (Ref. 269-D)",1995
Angiosperm,Vicia,amoena,2,6.38,"Li and Liu, 1996 (Ref. 312)",2000
Angiosperm,Iris,pseudopallida,2,6.38,"Siljak-Yakovlev et al., 2010 (Ref. 634)",2012
Angiosperm,Terminalia,bellirica,4,6.4,"Ohri, 1996 (Ref. 302)",1997
Angiosperm,Crepis,turcica,2,6.41,"Enke et al., 2011 (Ref. 670)",2012
Angiosperm,Triteleia,ixioides,,6.42,"Vesely et al., 2011 (Ref. 675)",2012
Angiosperm,Ficaria,calthifolia,,6.45,"Vesely et al., 2011 (Ref. 675)",2012
Angiosperm,Muellerina,eucalyptoides,2,6.45,"Martin., 1983 (Ref. 109)",1991
Angiosperm,Lathyrus,nissolia,2,6.45,"Narayan, 1982 (Ref. 113)",1991
Angiosperm,Phalaris,aquatica,4,6.45,"Barlow, 1981 (Ref. 58)",1982
Angiosperm,Festuca,tristis,4,6.46,"Smarda et al., 2008 (Ref. 555)",2011
Angiosperm,Festuca,laxa,4,6.47,"Smarda et al., 2008 (Ref. 555)",2011
Angiosperm,Briza,maxima,2,6.48,"Schifino and Winge, 1983 (Ref. 117)",1991
Angiosperm,Coccothrinax,fragrans,,6.48,"Hanson et al., 1999 (Ref. 377)",2000
Angiosperm,Artemisia,barrelieri,4,6.48,"Torrell and Valles, 2001 (Ref. 386)",2005a
Angiosperm,Festuca,amethystina,4,6.49,"Smarda et al., 2008 (Ref. 555)",2011
Angiosperm,Bromus,willdenowii,6,6.5,"Joachimiak et al., 2001 (Ref. 391)",2005a
Angiosperm,Leucanthemum,laciniatum,2,6.5,"Marchi et al., 1983 (Ref. 111)",1991
